site_id,published_item_id
xr_chest,xrch_p2_4
xr_chest,xrch_p3_1
xr_chest,xrch_s2_1
xr_shoulder,xrsh_p2_2
xr_shoulder,xrsh_p2_3
xr_humerus,xrhu_em_1
xr_humerus,xrhu_p2_1
xr_humerus,xrhu_p2_2
xr_humerus,xrhu_p2_3
xr_humerus,xrhu_p2_4
xr_humerus,xrhu_p2_5
xr_humerus,xrhu_p3_1
xr_humerus,xrhu_p3_2
xr_humerus,xrhu_p3_3
xr_elbow,xrel_p2_2
xr_elbow,xrel_p2_3
xr_elbow,xrel_p3_1
xr_forearm,xrfa_em_1
xr_forearm,xrfa_p2_1
xr_forearm,xrfa_p2_2
xr_forearm,xrfa_p2_3
xr_forearm,xrfa_p2_4
xr_forearm,xrfa_p2_5
xr_forearm,xrfa_p3_1
xr_forearm,xrfa_p3_2
xr_forearm,xrfa_p3_3
xr_wrist_hand,xrwh_p2_2
xr_wrist_hand,xrwh_p2_3
xr_wrist_hand,xrwh_p3_3
xr_pelvis_hip,xrph_p2_2
xr_pelvis_hip,xrph_p2_3
xr_pelvis_hip,xrph_p2_4
xr_pelvis_hip,xrph_p3_1
xr_femur,xrfe_em_1
xr_femur,xrfe_p2_1
xr_femur,xrfe_p2_2
xr_femur,xrfe_p2_3
xr_femur,xrfe_p2_4
xr_femur,xrfe_p2_5
xr_femur,xrfe_p3_1
xr_femur,xrfe_p3_2
xr_femur,xrfe_p3_3
xr_femur,xrfe_p3_4
xr_knee,xrkn_p2_2
xr_knee,xrkn_p2_3
xr_knee,xrkn_p3_1
xr_tibia_fibula,xrtf_em_1
xr_tibia_fibula,xrtf_p2_1
xr_tibia_fibula,xrtf_p2_2
xr_tibia_fibula,xrtf_p2_3
xr_tibia_fibula,xrtf_p2_4
xr_tibia_fibula,xrtf_p2_5
xr_tibia_fibula,xrtf_p3_1
xr_tibia_fibula,xrtf_p3_2
xr_tibia_fibula,xrtf_p3_3
xr_tibia_fibula,xrtf_p3_4
xr_ankle_foot,xraf_p2_2
xr_ankle_foot,xraf_p2_3
xr_ankle_foot,xraf_p3_1
xr_ankle_foot,xraf_p3_4
xr_spine,xrsp_p2_2
xr_spine,xrsp_p2_3
xr_spine,xrsp_p2_4
xr_spine,xrsp_p2_5
xr_spine,xrsp_p2_6
ct_head_paed,cthp_24_1_p
ct_head_paed,cthp_p2_1_p
ct_head_paed,cthp_p3_1_p
us_hip_paed,ushp_p2_1_p
us_hip_paed,ushp_p2_2_p
us_hip_paed,ushp_p3_1_p
us_hip_paed,ushp_s1_1_p
us_neck_thyroid_paed,usntp_p2_1_p
us_neck_thyroid_paed,usntp_p3_1_p
us_pelvis_paed,uspep_em_1_p
us_pelvis_paed,uspep_48_1_p
us_pelvis_paed,uspep_48_2_p
us_pelvis_paed,uspep_p3_1_p
us_pelvis_paed,uspep_p3_2_p
us_renal_paed,usrep_em_1_p
us_renal_paed,usrep_em_2_p
us_renal_paed,usrep_em_3_p
us_renal_paed,usrep_em_4_p
us_renal_paed,usrep_p2_1_p
us_renal_paed,usrep_p3_1_p
us_renal_paed,usrep_p3_2_p
us_renal_paed,usrep_p3_3_p
us_renal_paed,usrep_s2_1_p
us_renal_paed,usrep_s2_2_p
us_renal_paed,usrep_s2_3_p
us_renal_paed,usrep_s2_4_p
us_scrotum_paed,usscp_em_1_p
us_scrotum_paed,usscp_em_2_p
us_scrotum_paed,usscp_p2_1_p
us_soft_tissue_paed,usstp_em_1_p
us_soft_tissue_paed,usstp_em_2_p
us_soft_tissue_paed,usstp_em_3_p
us_soft_tissue_paed,usstp_48_1_p
us_soft_tissue_paed,usstp_p3_1_p
us_soft_tissue_paed,usstp_p3_2_p
us_soft_tissue_paed,usstp_p3_3_p
us_spine_paed,usspp_p2_1_p
us_spine_paed,usspp_p2_2_p
xr_abdomen_paed,xrabd_em_1_p
xr_abdomen_paed,xrabd_48_1_p
xr_chest_paed,xrch_em_1_p
xr_chest_paed,xrch_24_1_p
xr_chest_paed,xrch_p3_1_p
xr_chest_paed,xrch_s2_1_p
xr_humerus_paed,xrhum_em_1_p
